number,theme,subtheme,year,set_name,minifigs,pieces,price,value_new,value_used,launch_date,eol_date,category,numeric_data_nan,price_unadjusted,value_change_per
6037-1,Castle,Fright Knights,1997,Witch's Windship,1.0,56.0,13.504687743342156,53.65,23.96,1997-01-01,1998-12-31,set,False,8.0,2.97269459461953
2129-1,Technic,,1997,Blast-Off Dragster,,63.0,11.816601775424386,20.16,7.37,1997-01-01,1998-12-31,set,False,7.0,0.7060742490220684
2147-1,Town,Special,1997,Dragon Fly,2.0,183.0,47.266407101697546,23.02,14.14,1997-01-01,2000-12-31,set,False,28.0,-0.5129733480594244
2148-1,Town,Vehicles,1997,LEGO Truck,1.0,105.0,18.568945647095465,73.86,42.85,1997-01-01,1999-12-31,set,False,11.0,2.977608713155618
2153-1,Space,RoboForce,1997,Robo Stalker,2.0,280.0,50.64257903753308,90.0,35.5,1997-01-01,1999-01-03,set,False,30.0,0.7771606760646546
6027-1,Castle,Fright Knights,1997,Bat Lord's Catapult,2.0,55.0,11.394580283444945,49.78,19.52,1997-01-01,1998-12-31,set,False,6.75,3.368743627382642
8735-1,Technic,Supplementary,1997,"Motor Set, 9V",,60.0,67.52343871671079,34.22,27.13,1997-01-08,2003-12-31,set,False,40.0,-0.49321301387556277
8215-1,Technic,,1997,Gyro Copter,,108.0,13.504687743342156,38.72,9.6,1997-01-01,1999-12-31,set,False,8.0,1.8671525573843093
8479-1,Technic,,1997,Barcode Multi-Set,,1280.0,276.84609873851423,705.23,142.99,1997-01-08,1999-12-31,set,False,164.0,1.547371999148529
8277-1,Technic,,1997,Giant Model Set,,546.0,67.52343871671079,143.66,50.82,1997-01-01,1998-12-31,set,False,40.0,1.127557522695402
8437-1,Technic,,1997,Future Car,,419.0,91.15664226755956,112.08,49.4,1997-01-08,1998-12-31,set,False,54.0,0.2295319047736201
6087-1,Castle,Fright Knights,1997,Witch's Magic Manor,6.0,250.0,74.27578258838186,360.48,100.54,1997-01-01,1998-12-31,set,False,44.0,3.8532642462711113
8414-1,Technic,,1997,Mountain Rambler,,244.0,50.64257903753308,64.95,23.28,1997-01-01,1999-12-31,set,False,30.0,0.2825176212266592
2160-1,Aquazone,Aquaraiders,1997,Crystal Scavenger,1.0,110.0,25.32128951876654,77.31,24.5,1997-01-05,1998-12-31,set,False,15.0,2.053162041479077
2161-1,Aquazone,Aquaraiders,1997,Aqua Dozer,1.0,136.0,42.20214919794424,77.0,29.41,1997-01-05,1998-12-31,set,False,25.0,0.8245516274263787
6407-1,Town,Fire,1997,Fire Chief,1.0,24.0,9.284472823547732,11.87,3.3,1997-01-05,1998-12-31,set,False,5.5,0.2784786196901484
6486-1,Town,Fire,1997,Fire Engine,1.0,64.0,16.880859679177696,28.29,8.52,1997-01-05,1998-12-31,set,False,10.0,0.675862517528969
8459-1,Technic,,1997,Pneumatic Front-End Loader,,591.0,138.42304936925711,322.64,91.66,1997-01-08,1999-12-31,set,False,82.0,1.3308256931930895
6548-1,Town,City,1997,Octan Gas Station,3.0,120.0,40.514063230026466,71.8,36.15,1997-01-05,1998-12-31,set,False,24.0,0.7722241186311416
6564-1,Town,Maintenance,1997,Recycle Truck,1.0,34.0,12.23862326740383,15.62,6.2,1997-01-05,1998-12-31,set,False,7.25,0.2762873452933288
6565-1,Town,Construction,1997,Construction Crew,3.0,73.0,27.853418470643195,27.98,13.47,1997-01-05,1998-12-31,set,False,16.5,0.004544559925031073
6748-1,Western,Indians,1997,Boulder Cliff Canyon,6.0,250.0,67.52343871671079,450.64,186.8,1997-01-06,1998-12-31,set,False,40.0,5.673830725514798
6718-1,Western,Indians,1997,Raindance Ridge,2.0,71.0,13.504687743342156,91.15,30.82,1997-01-08,1998-12-31,set,False,8.0,5.749508150970553
6746-1,Western,Indians,1997,Chief's Tepee,3.0,131.0,33.76171935835539,274.32,76.29,1997-01-08,1998-12-31,set,False,20.0,7.125178610967599
6999-1,Space,UFO,1997,Cyber Saucer,1.0,114.0,33.76171935835539,168.31,23.3,1997-01-08,1997-12-31,set,False,20.0,3.9852318898073675
6554-1,Town,Fire,1997,Blaze Brigade,4.0,250.0,74.27578258838186,95.0,46.15,1997-01-05,1998-12-31,set,False,44.0,0.27901715322834986
6097-1,Castle,Fright Knights,1997,Night Lord's Castle,8.0,601.0,135.04687743342157,419.98,176.07,1997-01-01,1998-12-31,set,False,80.0,2.10988308639014
6441-1,Town,Divers,1997,Deep Reef Refuge,5.0,433.0,101.28515807506616,213.58,81.26,1997-01-01,1998-12-31,set,False,60.0,1.1086998732993831
6442-1,Town,Divers,1997,Sting Ray Explorer,3.0,147.0,33.76171935835539,138.72,24.22,1997-01-01,1998-12-31,set,False,20.0,3.1087954830614812
6495-1,Time Cruisers,Time Twisters,1997,Time Tunnelator,1.0,81.0,16.880859679177696,34.38,9.78,1997-01-01,1998-12-31,set,False,10.0,1.0366261347700942
6496-1,Time Cruisers,Time Twisters,1997,Whirling Time Warper,2.0,147.0,37.13789129419093,162.67,35.59,1997-01-01,1998-12-31,set,False,22.0,3.3801625329611715
6497-1,Time Cruisers,Time Twisters,1997,Twisted Time Train,4.0,300.0,64.99130976483413,140.14,63.07,1997-01-01,1998-12-31,set,False,38.5,1.1562882869584472
6550-1,Town,Outback,1997,Outback Racer,1.0,48.0,6.752343871671078,30.81,4.7,1997-01-01,1998-12-31,set,False,4.0,3.5628600357960005
6555-1,Town,Divers,1997,Sea Hunter,1.0,30.0,7.596386855629963,44.9,7.5,1997-01-01,1998-12-31,set,False,4.5,4.91070476705948
6556-1,Town,Divers,1997,Scuba Squad,2.0,72.0,14.770752219280483,25.28,8.49,1997-01-01,1998-12-31,set,False,8.75,0.7114903577491226
6558-1,Town,Divers,1997,Shark Cage Cove,3.0,185.0,50.64257903753308,102.84,36.0,1997-01-01,1998-12-31,set,False,30.0,1.0307022658498788
6559-1,Town,Divers,1997,Deep Sea Bounty,5.0,344.0,74.27578258838186,210.0,87.12,1997-01-01,1998-12-31,set,False,44.0,1.827301075557405
6560-1,Town,Divers,1997,Diving Expedition Explorer,7.0,464.0,133.3587914655038,396.59,144.99,1997-01-01,1998-12-31,set,False,79.0,1.973857183630723
6566-1,Town,City,1997,Bank,2.0,96.0,25.32128951876654,81.14,19.55,1997-01-01,1998-12-31,set,False,15.0,2.2044181612419127
6799-1,Western,Cowboys,1997,Showdown Canyon,4.0,69.0,16.880859679177696,149.0,54.39,1997-01-01,1997-12-31,set,False,10.0,7.826564691121117
8205-1,Technic,,1997,Bungee Blaster,,64.0,11.816601775424386,23.73,5.12,1997-01-01,1999-12-31,set,False,7.0,1.0081915639530599
8216-1,Technic,,1997,Turbo 1,,91.0,16.880859679177696,32.69,9.11,1997-01-01,1999-12-31,set,False,10.0,0.9365127500184515
6487-1,Town,Outback,1997,Mountain Rescue,1.0,67.0,10.128515807506616,23.99,10.35,1997-01-01,1998-12-31,set,False,6.0,1.3685602565995034
6417-1,Town,Paradisa,1997,Show Jumping Event,1.0,36.0,6.752343871671078,39.66,19.41,1997-01-01,1997-12-31,set,False,4.0,4.873516034393683
6766-1,Western,Indians,1997,Rapid River Village,7.0,343.0,101.28515807506616,399.98,183.05,1997-01-08,1998-12-31,set,False,60.0,2.9490484845130034
5958-1,Adventurers,Desert,1998,Mummy's Tomb,4.0,260.0,49.87106998619702,159.99,98.26,1998-01-01,1999-12-31,set,False,30.0,2.208072336211775
5988-1,Adventurers,Desert,1998,The Temple of Anubis,10.0,711.0,132.98951996319207,539.37,213.43,1998-01-01,1999-12-31,set,False,80.0,3.055733114528748
2539-1,Castle,Fright Knights,1998,Flying Machine,1.0,21.0,3.3247379990798014,20.65,11.36,1998-01-01,1999-12-31,set,False,2.0,5.211015726867912
2996-1,Adventurers,Desert,1998,Adventurers Tomb,2.0,81.0,13.298951996319206,70.0,45.82,1998-01-01,1998-12-31,set,False,8.0,4.2635726498880615
5928-1,Adventurers,Desert,1998,Bi-Wing Baron,1.0,70.0,9.974213997239403,72.05,17.91,1998-01-01,1999-12-31,set,False,6.0,6.2236268461797115
5938-1,Adventurers,Desert,1998,Oasis Ambush,3.0,77.0,13.298951996319206,64.27,25.0,1998-01-01,1999-12-31,set,False,8.0,3.832711631547224
5978-1,Adventurers,Desert,1998,Sphinx Secret Surprise,7.0,347.0,83.11844997699504,406.26,130.87,1998-01-01,1999-12-31,set,False,50.0,3.8877234851280535
2536-1,Town,Divers,1998,Divers Jet Ski,1.0,23.0,3.3247379990798014,6.02,2.75,1998-01-01,1999-12-31,set,False,2.0,0.8106689915614927
5918-1,Adventurers,Desert,1998,Scorpion Tracker,1.0,35.0,6.649475998159603,65.0,15.79,1998-01-01,1999-12-31,set,False,4.0,8.775206349792112
6422-1,Town,Maintenance,1998,Telephone Repair,1.0,43.0,14.545728745974131,21.69,6.05,1998-01-01,1999-12-31,set,False,8.75,0.4911593897282881
2854-1,Technic,Competition,1998,Bungee Chopper,,72.0,11.636582996779305,14.49,6.95,1998-01-03,1998-12-31,set,False,7.0,0.24521090117351843
6567-1,Town,Extreme Team,1998,Speed Splash,1.0,29.0,4.987106998619701,13.0,3.34,1998-01-01,1999-12-31,set,False,3.0,1.6067216932778974
5845-1,Belville,,1998,Dolphin Show,1.0,50.0,18.28605899493891,53.0,21.81,1998-01-04,1999-12-31,set,False,11.0,1.8983828617565424
5919-1,Adventurers,Desert,1998,The Valley of the Kings,3.0,164.0,33.24737999079802,292.97,86.88,1998-01-03,1998-12-31,set,False,20.0,7.8118221670726005
2879-1,Adventurers,Desert,1998,Desert Expedition,5.0,196.0,33.24737999079802,140.0,123.56,1998-01-03,1998-12-31,set,False,20.0,3.2108581199104487
6033-1,Castle,Ninja,1998,Treasure Transport,3.0,54.0,9.974213997239403,36.63,11.1,1998-01-04,1999-12-31,set,False,6.0,2.6724698317219
8266-1,Technic,Competition,1998,Blue Flash Versus The Arachnophob,2.0,366.0,116.36582996779305,50.38,45.0,1998-01-01,1999-12-31,set,False,70.0,-0.5670550365692073
8248-1,Technic,,1998,Forklift,1.0,231.0,54.85817698481672,87.24,39.47,1998-01-01,1999-12-31,set,False,33.0,0.5902825211298162
6110-1,Aquazone,Hydronauts,1998,Solo Sub,1.0,25.0,6.649475998159603,21.28,6.61,1998-01-01,1999-12-31,set,False,4.0,2.2002521711319414
8245-1,Technic,Competition,1998,Robots Revenge,1.0,222.0,49.87106998619702,43.9,16.53,1998-01-01,1999-12-31,set,False,30.0,-0.11973013588538717
8226-1,Technic,,1998,Mud Masher,,127.0,21.610796994018706,30.4,4.62,1998-01-01,2000-12-31,set,False,13.0,0.4067042510470072
6424-1,Town,Vehicles,1998,Rig Racers,3.0,101.0,33.24737999079802,21.48,7.36,1998-01-01,1999-12-31,set,False,20.0,-0.3539340541737397
6140-1,Aquazone,Stingrays,1998,Crab,1.0,78.0,16.62368999539901,72.55,12.73,1998-01-01,1998-12-31,set,False,10.0,3.364253665707186
6977-1,Space,Insectoids,1998,Arachnoid Star Base,4.0,437.0,132.98951996319207,180.7,94.83,1998-01-06,1999-12-31,set,False,80.0,0.3587536826211036
6160-1,Aquazone,Stingrays,1998,Sea Scorpion,3.0,301.0,58.182914983896524,167.74,52.51,1998-01-01,1999-12-31,set,False,35.0,1.8829769021786888
8462-1,Technic,,1998,Tow Truck,,774.0,202.8090179438679,275.0,120.97,1998-01-08,1999-12-31,set,False,122.0,0.35595548357772056
8213-1,Technic,,1998,Spy Runner,,98.0,16.62368999539901,34.55,7.94,1998-01-01,1999-12-31,set,False,10.0,1.0783592577557999
8428-1,Technic,,1998,Concept Car,,471.0,73.14423597975563,141.01,45.28,1998-01-08,1999-12-31,set,False,44.0,0.9278347515862738
8417-1,Technic,,1998,Mag Wheel Master,,315.0,49.87106998619702,140.59,55.73,1998-01-08,1999-12-31,set,False,30.0,1.819069252753381
6907-1,Space,Insectoids,1998,Sonic Stinger,1.0,96.0,36.57211798987782,40.03,17.56,1998-01-07,1999-12-31,set,False,22.0,0.09454967883126793
2965-1,Space,Insectoids,1998,Hornet Scout,2.0,73.0,13.298951996319206,84.3,32.5,1998-01-07,1999-01-03,set,False,8.0,5.338845348365193
2964-1,Space,Insectoids,1998,Space Spider,1.0,45.0,9.974213997239403,56.02,8.28,1998-01-07,1999-01-03,set,False,6.0,4.616482663747223
6089-1,Castle,Ninja,1998,Stone Tower Bridge,5.0,409.0,83.11844997699504,172.0,96.64,1998-01-04,1999-12-31,set,False,50.0,1.069335990355992
6919-1,Space,Insectoids,1998,Planetary Prowler,2.0,250.0,58.182914983896524,77.19,30.8,1998-01-06,1999-12-31,set,False,35.0,0.3266781154117859
6903-1,Space,Insectoids,1998,Bug Blaster,1.0,25.0,4.987106998619701,18.49,5.41,1998-01-06,1999-12-31,set,False,3.0,2.7075603160544857
6837-1,Space,Insectoids,1998,Cosmic Creeper,1.0,58.0,13.298951996319206,37.51,9.88,1998-01-06,1999-12-31,set,False,8.0,1.8205230013900167
6088-1,Castle,Ninja,1998,Robber's Retreat,4.0,277.0,49.87106998619702,200.0,57.79,1998-01-05,1999-12-31,set,False,30.0,3.0103410665813795
6083-2,Castle,Ninja,1998,Samurai Stronghold,3.0,198.0,33.24737999079802,292.68,56.98,1998-01-05,1999-12-31,set,False,20.0,7.803099675252786
2963-1,Town,Extreme Team,1998,Extreme Team Racer,1.0,84.0,9.974213997239403,17.53,10.0,1998-01-05,2000-12-31,set,False,6.0,0.75753197242929
2962-1,Town,Res-Q,1998,Res-Q Lifeguard,2.0,70.0,11.22099074689433,32.5,15.82,1998-01-05,1999-01-03,set,False,6.75,1.8963574369754408
6969-1,Space,Insectoids,1998,Celestial Stinger,3.0,252.0,83.11844997699504,140.8,51.23,1998-01-06,1999-12-31,set,False,50.0,0.6939680665239749
6045-1,Castle,Ninja,1998,Ninja Surprise,3.0,112.0,21.610796994018706,75.06,24.76,1998-01-04,1999-12-31,set,False,13.0,2.473263851433828
5848-1,Belville,,1998,The Belville Luxury Cruiser,3.0,223.0,73.14423597975563,149.0,17.92,1998-01-04,1999-12-31,set,False,44.0,1.0370709735930417
6332-1,Town,Police,1998,Command Post Central,7.0,272.0,99.74213997239404,174.76,42.64,1998-01-01,2001-12-31,set,False,60.0,0.7521180119894048
6330-1,Town,City,1998,Cargo Center,5.0,242.0,82.70285772711006,95.0,46.9,1998-01-01,1999-12-31,set,False,49.75,0.14869065726200328
6180-1,Aquazone,Hydronauts,1998,Hydro Search Sub,4.0,297.0,83.11844997699504,332.5,106.38,1998-01-01,1998-12-31,set,False,50.0,3.0003152139149263
6150-1,Aquazone,Hydronauts,1998,Crystal Detector,1.0,104.0,33.24737999079802,50.0,21.8,1998-01-01,1999-12-31,set,False,20.0,0.5038778999680172
8202-1,Technic,Competition,1998,Bungee Chopper,,72.0,11.636582996779305,11.22,3.7,1998-01-01,1999-12-31,set,False,7.0,-0.035799426420505355
3591-1,Znap,,1998,Rota-Beast,,265.0,49.87106998619702,57.63,40.0,1998-01-09,1999-12-31,set,False,30.0,0.15557977833542463
3019-1,Castle,Ninja,1998,Ninpo Big Bat,1.0,22.0,3.3247379990798014,19.74,6.0,1998-04-20,2001-12-31,set,False,2.0,4.937309949073732
3017-1,Castle,Ninja,1998,Ninpo Water Spider,1.0,25.0,3.3247379990798014,21.0,18.78,1998-04-20,1999-12-31,set,False,2.0,5.3162871798656735
3225-1,Trains,9V,1998,Classic Train,3.0,281.0,109.71635396963345,295.0,238.26,1998-09-15,1998-12-31,set,False,66.0,1.688751396912516
5600-1,Racers,,1998,Radio Control Racer,1.0,298.0,132.98951996319207,95.0,39.33,1998-01-10,2000-12-31,set,False,80.0,-0.2856579975151918
3119-1,Scala,Dolls,1998,Sunshine Home,3.0,168.0,159.58742395583045,359.28,79.36,1998-01-10,2000-01-09,set,False,96.0,1.2513052162521223
3115-1,Scala,Dolls,1998,Kitchen,,41.0,22.857573743673633,26.82,18.23,1998-01-10,2000-01-09,set,False,13.75,0.17335288078959216
3581-1,Znap,,1998,Red Formula 1 with Storage,,171.0,33.24737999079802,68.5,25.46,1998-01-09,1999-12-31,set,False,20.0,1.0603127229561837
3552-1,Znap,,1998,Hover Sub,,126.0,33.24737999079802,29.95,29.7,1998-01-09,1999-12-31,set,False,20.0,-0.09917713791915767
3551-1,Znap,,1998,Dino-Jet,,80.0,16.62368999539901,33.96,14.45,1998-01-09,1999-12-31,set,False,10.0,1.0428677393165549
3571-1,Znap,,1998,Blackmobile,,142.0,33.24737999079802,42.82,23.44,1998-01-09,1999-12-31,set,False,20.0,0.28792103353261006
6093-1,Castle,Ninja,1998,Flying Ninja Fortress,9.0,694.0,149.61320995859106,429.9,175.81,1998-01-04,1999-12-31,set,False,90.0,1.8734093742055589
6584-1,Town,Extreme Team,1998,Extreme Team Challenge,4.0,350.0,83.11844997699504,105.0,56.39,1998-01-01,1999-12-31,set,False,50.0,0.26325743597313456
6109-1,Aquazone,Stingrays,1998,Sea Creeper,1.0,79.0,16.62368999539901,34.99,59.99,1998-01-01,1998-12-31,set,False,10.0,1.1048275087952373
3510-1,Znap,,1998,Promotional Set,,25.0,1.6623689995399007,5.0,3.65,1998-01-09,1999-12-31,set,False,1.0,2.007755799936035
6198-1,Aquazone,Stingrays,1998,Stingray Stormer,4.0,408.0,116.36582996779305,435.81,101.12,1998-01-04,1998-12-31,set,False,70.0,2.7451715862003527
6324-1,Town,Police,1998,Chopper Cop,1.0,17.0,4.987106998619701,14.21,3.39,1998-01-04,1999-12-31,set,False,3.0,1.849347327806071
6199-1,Aquazone,Hydronauts,1998,Hydro Crystallisation Station,5.0,482.0,149.61320995859106,330.74,155.14,1998-01-04,1998-12-31,set,False,90.0,1.2106336739352095
6585-1,Town,Extreme Team,1998,Hang-Glider,1.0,19.0,4.155922498849752,10.7,3.37,1998-01-04,1999-12-31,set,False,2.5,1.5746389647452455
6580-1,Town,Extreme Team,1998,Land Jet 7,2.0,109.0,19.948427994478806,55.0,9.7,1998-01-04,1999-12-31,set,False,12.0,1.7571094832746992
6568-1,Town,Extreme Team,1998,Drag Race Rally,4.0,292.0,49.87106998619702,45.0,27.14,1998-01-04,1999-12-31,set,False,30.0,-0.09767326001918955
6479-1,Town,Res-Q,1998,Emergency Response Center,5.0,423.0,99.74213997239404,249.95,83.66,1998-01-04,1999-12-31,set,False,60.0,1.5059618739800393
6473-1,Town,Res-Q,1998,Res-Q Cruiser,3.0,305.0,58.182914983896524,145.0,39.57,1998-01-04,1999-12-31,set,False,35.0,1.4921405199470004
6462-1,Town,Res-Q,1998,Aerial Recovery,3.0,194.0,41.55922498849752,50.0,28.75,1998-01-04,1999-12-31,set,False,25.0,0.2031023199744139
6451-1,Town,Res-Q,1998,River Response,3.0,153.0,33.24737999079802,75.0,14.71,1998-01-04,1999-12-31,set,False,20.0,1.255816849952026
6445-1,Town,Res-Q,1998,Emergency Evac,1.0,101.0,13.298951996319206,46.77,8.55,1998-01-04,1999-12-31,set,False,8.0,2.516818469075209
6431-1,Town,Res-Q,1998,Road Rescue,1.0,48.0,6.649475998159603,15.12,4.9,1998-01-04,1998-12-31,set,False,4.0,1.273863384751642
6426-1,Town,City,1998,Super Cycle Center,4.0,137.0,49.87106998619702,62.0,15.0,1998-01-04,1998-12-31,set,False,30.0,0.24320573064022774
6329-1,Town,City,1998,Truck Stop,3.0,137.0,41.55922498849752,79.75,22.56,1998-01-04,1999-12-31,set,False,25.0,0.9189482003591902
6328-1,Town,Police,1998,Helicopter Transport,2.0,102.0,24.93553499309851,42.09,11.03,1998-01-04,1999-12-31,set,False,15.0,0.6879525549241029
6327-1,Town,Vehicles,1998,Turbo Champ,2.0,48.0,16.62368999539901,12.8,5.54,1998-01-04,1999-12-31,set,False,10.0,-0.2300145152163751
6325-1,Town,Vehicles,1998,Package Pick-Up,1.0,28.0,7.896252747814528,20.0,4.7,1998-01-04,1999-12-31,set,False,4.75,1.5328469894198187
6572-1,Town,Extreme Team,1998,Wind Runners,2.0,52.0,9.974213997239403,17.32,4.54,1998-01-04,1999-12-31,set,False,6.0,0.7364776818297378
6437-1,Town,City,1999,Beach Buggy,1.0,28.0,4.880080040020009,12.83,3.03,1999-01-01,2001-01-07,set,False,3.0,1.629055239829098
6434-1,Town,City,1999,Roadside Repair,5.0,210.0,81.33466733366681,44.0,24.02,1999-01-01,1999-12-31,set,False,50.0,-0.4590252663173173
6435-1,Town,City,1999,Coast Guard HQ,6.0,221.0,107.36176088044019,180.0,46.78,1999-01-01,1999-12-31,set,False,66.0,0.6765745878595539
6439-1,Town,City,1999,Mini Dumper,1.0,30.0,4.880080040020009,17.58,3.97,1999-01-01,1999-12-31,set,False,3.0,2.602399931114228
6463-1,Town,Space Port,1999,Lunar Rover,1.0,36.0,6.506773386693346,20.48,6.11,1999-09-24,2000-12-31,set,False,4.0,2.1474893596083358
6453-1,Town,Space Port,1999,Com-Link Cruiser,1.0,60.0,9.760160080040018,19.72,6.1,1999-01-01,2000-12-31,set,False,6.0,1.02045866443608
2774-1,Town,Special,1999,Red Tiger,3.0,141.0,24.400400200100044,24.0,17.0,1999-01-01,2001-12-31,set,False,15.0,-0.01640957512239503
6433-1,Town,City,1999,Coast Watch,3.0,90.0,48.80080040020009,47.17,11.07,1999-01-01,2000-12-31,set,False,30.0,-0.03341749288590358
6452-1,Town,Space Port,1999,Mini Rocket Launcher,1.0,32.0,4.880080040020009,11.69,3.85,1999-01-01,1999-12-31,set,False,3.0,1.3954525139206668
6432-1,Town,City,1999,Speedway Transport,2.0,134.0,35.7872536268134,45.27,12.7,1999-01-01,2000-12-31,set,False,22.0,0.26497552654003337
7171-1,Star Wars,Episode I,1999,Mos Espa Podrace,10.0,896.0,146.40240120060028,256.43,132.48,1999-01-04,2000-12-31,set,False,90.0,0.7515423100789183
